phase,avg_time_ns_static,avg_time_ns_lru,lru_advantage_pct
0,121343.050203125,129161.892453125,-6.443584726864418
1,130745.882046875,128948.447046875,1.3747545787756406
2,136452.738171875,129802.228671875,4.873855658083662
