phase,avg_time_ns_static,avg_time_ns_lru,avg_time_ns_hybrid
0,121343.050203125,129161.892453125,123803.289359375
1,130745.882046875,128948.447046875,124117.840484375
2,136452.738171875,129802.228671875,130914.391578125
