num_experts_in_hbm,smart_avg_time_ns,random_avg_time_ns_mean,random_avg_time_ns_std,smart_advantage_pct
0,244360.625,244360.625,0.0,0.0
1,210820.4879,216359.17151281252,2989.158696332149,2.5599486141887544
2,178437.44958125,188615.649948125,3795.0200030330498,5.396265034038439
3,149518.967225,158955.05161624998,4132.989934074555,5.93632243537036
4,121780.0515875,132700.25559031247,5299.735519895836,8.229226051023284
5,94326.47875625,104197.54241750001,4879.615943380662,9.473413126864843
6,69124.1932625,76673.42026249999,3496.4287139950907,9.845950492562306
7,43962.35005625,48526.26220062501,3423.1654453933443,9.405035412589905
8,19681.25,19681.25,0.0,0.0
