breakeven_factor,layer,migration_factor,migration_cost_us,lru_hit_rate_pct,lru_avg_time_ns,static_avg_time_ns,static_hit_rate_pct,lru_advantage_pct,migrations
1.2882743659612292,Layer 15,0.0,0.0,59.51793832773276,2490724.5980790006,2720420.050778465,54.98270409171773,8.443381845893082,655356
1.2882743659612292,Layer 15,0.05,22.02172902489756,59.51793832773276,2499639.4480865416,2720420.050778465,54.98270409171773,8.1156806144237,655356
1.2882743659612292,Layer 15,0.1,44.04345804979512,59.51793832773276,2508554.298004126,2720420.050778465,54.98270409171773,7.78797938626103,655356
1.2882743659612292,Layer 15,0.15,66.06518707469267,59.51793832773276,2517469.1479230593,2720420.050778465,54.98270409171773,7.460278158048789,655356
1.2882743659612292,Layer 15,0.2,88.08691609959024,59.51793832773276,2526383.9978472544,2720420.050778465,54.98270409171773,7.132576929643123,655356
1.2882743659612292,Layer 15,0.3,132.13037414938535,59.51793832773276,2544213.697683663,2720420.050778465,54.98270409171773,6.477174473272215,655356
1.2882743659612292,Layer 15,0.4,176.17383219918048,59.51793832773276,2562043.3975449344,2720420.050778465,54.98270409171773,5.821772015987384,655356
1.2882743659612292,Layer 15,0.5,220.21729024897556,59.51793832773276,2579873.097387474,2720420.050778465,54.98270409171773,5.1663695593911125,655356
1.2882743659612292,Layer 15,0.75,330.3259353734633,59.51793832773276,2624447.3469772195,2720420.050778465,54.98270409171773,3.5278634185107647,655356
1.2882743659612292,Layer 15,1.0,440.4345804979511,59.51793832773276,2669021.596597824,2720420.050778465,54.98270409171773,1.8893572764960735,655356
0.08828812071530845,Layer 31,0.0,0.0,56.256485965605854,2655906.976258608,2672916.7035486726,55.920636489424794,0.6363732647366735,708155
0.08828812071530845,Layer 31,0.05,22.02172902489756,56.256485965605854,2665540.0544813955,2672916.7035486726,55.920636489424794,0.27597751390769304,708155
0.08828812071530845,Layer 31,0.1,44.04345804979512,56.256485965605854,2675173.1325997477,2672916.7035486726,55.920636489424794,-0.08441823301412289,708155
0.08828812071530845,Layer 31,0.15,66.06518707469267,56.256485965605854,2684806.2107194695,2672916.7035486726,55.920636489424794,-0.4448139799871753,708155
0.08828812071530845,Layer 31,0.2,88.08691609959024,56.256485965605854,2694439.2888445584,2672916.7035486726,55.920636489424794,-0.8052097271610277,708155
0.08828812071530845,Layer 31,0.3,132.13037414938535,56.256485965605854,2713705.4450825676,2672916.7035486726,55.920636489424794,-1.5260012210534746,708155
0.08828812071530845,Layer 31,0.4,176.17383219918048,56.256485965605854,2732971.6013428112,2672916.7035486726,55.920636489424794,-2.2467927157777616,708155
0.08828812071530845,Layer 31,0.5,220.21729024897556,56.256485965605854,2752237.757583663,2672916.7035486726,55.920636489424794,-2.967584209776549,708155
0.08828812071530845,Layer 31,0.75,330.3259353734633,56.256485965605854,2800403.14817544,2672916.7035486726,55.920636489424794,-4.76956294438622,708155
0.08828812071530845,Layer 31,1.0,440.4345804979511,56.256485965605854,2848568.538805823,2672916.7035486726,55.920636489424794,-6.571541680440237,708155
