strategy,dataset1_overall_ns,dataset2_overall_ns,dataset1_rank,dataset2_rank,rank_change
Pure Static,129513.89014062501,124027.96873437501,4,3,-1
Pure LRU,129304.18939062499,119661.69954687501,3,2,-1
Hybrid,126278.50714062499,132314.89301562498,2,4,2
Periodic Re-profile,123395.12182812499,97776.05609375,1,1,0
