num_experts_in_hbm,hbm_budget_gb,static_hit_rate_pct,static_avg_time_ns,random_hit_rate_pct,random_avg_time_ns_mean,random_avg_time_ns_std,smart_advantage_pct,lru_hit_rate_pct,lru_avg_time_ns
0,0.0,0.0,5505122.328348758,0.0,5505122.328348758,0.0,0.0,0.0,5505122.328348758
1,0.352321536,15.142,4738227.309569187,12.413249999999998,4876429.976488666,72433.52362544816,2.8340951799946232,5.08,5247836.190765473
2,0.704643072,29.471999999999998,4012457.5553021673,24.8174,4248198.511213631,88566.50092550456,5.5491982140005325,25.893,4193722.7298025936
3,1.056964608,42.34,3360733.5359087256,37.95020000000001,3583063.19866388,99380.93579596747,6.20501650202712,38.457,3557395.3611609847
4,1.409286144,54.925999999999995,2723291.935964223,49.6355,2991239.24126427,127651.623709741,8.957735697088449,50.857,2929374.0804258874
5,1.76160768,67.049,2109299.8402922703,62.4185,2343820.206456502,112902.23068221095,10.005902565316246,63.422,2292996.064909036
6,2.113929216,78.354,1536736.8903977366,74.6268,1725507.9321356318,84311.79715523848,10.940027467984834,75.815,1665329.3123188834
7,2.466250752,89.442,975164.3129160391,87.14155,1091674.9222114733,81430.60098902245,10.672646858957927,88.078,1044246.653798977
8,2.818572288,100.0,440434.58049795113,100.0,440434.58049795113,0.0,0.0,100.0,440434.58049795113
