dataset,experts,top_k,hbm_capacity,tokens,accesses,markov_order,gating,min_support,min_confidence,lru_hit_rate_pct,prefetch_hit_rate_pct,hit_rate_gain_pts,prefetch_accuracy_pct,prefetches_issued,prefetches_wasted,cxl_traffic_multiplier,energy_multiplier,lru_energy_mj_per_access,prefetch_energy_mj_per_access,cxl_energy_basis
Synthetic Mixtral-like,8,2,4,60000,120000,2,aggressive,1,0.0,50.8325,51.2725,0.4399999999999977,25.507246376811594,2070,1542,1.0261351502516907,1.02480464631863,30.7202447464787,31.48224955223685,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic Mixtral-like,8,2,4,60000,120000,2,permissive,2,0.1,50.8325,51.26833333333334,0.43583333333333485,25.62469377756002,2041,1518,1.0257283774851274,1.0244225973112675,30.7202447464787,31.470512913225527,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic Mixtral-like,8,2,4,60000,120000,2,moderate,8,0.2,50.8325,51.237500000000004,0.40500000000000114,26.04501607717042,1866,1380,1.0233894340773886,1.022215520572555,30.7202447464787,31.402710975638016,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic Mixtral-like,8,2,4,60000,120000,2,conservative,8,0.3,50.8325,51.212500000000006,0.38000000000000256,25.821064552661383,1766,1310,1.0222030135082456,1.0210819729366378,30.7202447464787,31.36788811483085,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic Mixtral-like,8,2,4,60000,120000,2,strict,20,0.4,50.8325,50.88083333333333,0.0483333333333249,25.327510917030565,229,171,1.0028982559617634,1.0027500203199067,30.7202447464787,30.80472604376402,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic high-skew,8,2,4,60000,120000,1,aggressive,1,0.0,55.46083333333334,59.73916666666666,4.278333333333322,38.93818733409177,13185,8051,1.1506352087114338,1.1440005610367938,28.261459859656394,32.331125935165744,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic high-skew,8,2,4,60000,120000,1,permissive,2,0.1,55.46083333333334,59.73916666666666,4.278333333333322,38.950003793338894,13181,8047,1.1505603682152412,1.1439324767719912,28.261459859656394,32.32920177444895,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic high-skew,8,2,4,60000,120000,1,moderate,8,0.2,55.46083333333334,59.73416666666667,4.273333333333326,38.95472500759647,13164,8036,1.1503545568507119,1.1437371064106845,28.261459859656394,32.32368032282511,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic high-skew,8,2,4,60000,120000,1,conservative,8,0.3,55.46083333333334,59.73416666666667,4.273333333333326,38.95472500759647,13164,8036,1.1503545568507119,1.1437371064106845,28.261459859656394,32.32368032282511,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic high-skew,8,2,4,60000,120000,1,strict,20,0.4,55.46083333333334,55.95583333333334,0.49499999999999744,38.976377952755904,1524,930,1.0174004153647538,1.0166353162434423,28.261459859656394,28.731598181923125,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic high-skew,8,2,4,60000,120000,2,aggressive,1,0.0,55.46083333333334,60.06,4.599166666666662,37.65950187649266,14655,9136,1.1709356933036466,1.162990646821739,28.261459859656394,32.86781348230841,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic high-skew,8,2,4,60000,120000,2,permissive,2,0.1,55.46083333333334,60.05416666666667,4.593333333333327,37.69919978113672,14621,9109,1.1704305199543472,1.1625215829623712,28.261459859656394,32.854557052875265,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic high-skew,8,2,4,60000,120000,2,moderate,8,0.2,55.46083333333334,60.01416666666667,4.5533333333333275,37.79222575736617,14458,8994,1.1682788556888133,1.1604990512844988,28.261459859656394,32.79739735504619,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
Synthetic high-skew,8,2,4,60000,120000,2,conservative,8,0.3,55.46083333333334,60.01416666666667,4.5533333333333275,37.79222575736617,14458,8994,1.1682788556888133,1.1604990512844988,28.261459859656394,32.79739735504619,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)"
