link_pj_per_bit,cxl_pj_per_bit,is_cited,layer,strategy,hit_rate_pct,energy_per_token_mj,saving_vs_worst_pct,energy_rank
8.0,17.08016357421875,False,Layer 15,Periodic (every 100),58.486731567503455,45.35137126768293,6.30420584807371,2
8.0,17.08016357421875,False,Layer 31,Static (oracle),56.21540818343546,47.329307023086855,0.539435792456643,3
8.0,17.08016357421875,False,Layer 31,Static (profiled on first 20k),55.9206364894248,47.586002955226824,0.0,4
8.0,17.08016357421875,False,Layer 31,LRU,56.256485965605854,47.29353527227522,0.6146086344482071,2
8.0,17.08016357421875,False,Layer 31,Periodic (every 100),58.467829610594976,45.36783165226693,4.661394454682293,1
10.0,19.08016357421875,False,Layer 15,Static (oracle),55.52215111682151,52.94757712583202,0.9921531695387459,3
10.0,19.08016357421875,False,Layer 15,Static (profiled on first 20k),54.98270409171773,53.478162409185835,0.0,4
10.0,19.08016357421875,False,Layer 15,LRU,59.51793832773276,49.01743052966721,8.341221310836243,1
10.0,19.08016357421875,False,Layer 15,Periodic (every 100),58.486731567503455,50.03169718720853,6.4446216300530805,2
10.0,19.08016357421875,False,Layer 31,Static (oracle),56.21540818343546,52.26570850850927,0.5516617381139456,3
10.0,19.08016357421875,False,Layer 31,Static (profiled on first 20k),55.9206364894248,52.55563785377025,0.0,4
10.0,19.08016357421875,False,Layer 31,LRU,56.256485965605854,52.225305529758515,0.628538321484833,2
10.0,19.08016357421875,False,Layer 31,Periodic (every 100),58.467829610594976,50.050288633069776,4.7670417923026775,1
11.4,20.48016357421875,True,Layer 15,Static (oracle),55.52215111682151,56.45777003000742,1.0049958343240808,3
11.4,20.48016357421875,True,Layer 15,Static (profiled on first 20k),54.98270409171773,57.03092848556368,0.0,4
11.4,20.48016357421875,True,Layer 15,LRU,59.51793832773276,52.21227581100286,8.449192048101704,1
11.4,20.48016357421875,True,Layer 15,Periodic (every 100),58.486731567503455,53.307925330876444,6.5280423334325395,2
11.4,20.48016357421875,True,Layer 31,Static (oracle),56.21540818343546,55.72118954830496,0.55892957446253,3
11.4,20.48016357421875,True,Layer 31,Static (profiled on first 20k),55.9206364894248,56.03438228275065,0.0,4
11.4,20.48016357421875,True,Layer 31,LRU,56.256485965605854,55.67754470999682,0.6368189640303619,2
11.4,20.48016357421875,True,Layer 31,Periodic (every 100),58.467829610594976,53.328008519631766,4.8298449146141476,1
12.0,21.08016357421875,False,Layer 15,Static (oracle),55.52215111682151,57.96213841751116,1.01002275071756,3
12.0,21.08016357421875,False,Layer 15,Static (profiled on first 20k),54.98270409171773,58.55354251829704,0.0,4
12.0,21.08016357421875,False,Layer 15,LRU,59.51793832773276,53.58149521728958,8.491454294936602,1
12.0,21.08016357421875,False,Layer 15,Periodic (every 100),58.486731567503455,54.71202310673412,6.5606951285014175,2
12.0,21.08016357421875,False,Layer 31,Static (oracle),56.21540818343546,57.202109993931685,0.5617752735800672,3
12.0,21.08016357421875,False,Layer 31,Static (profiled on first 20k),55.9206364894248,57.525272752313676,0.0,4
12.0,21.08016357421875,False,Layer 31,LRU,56.256485965605854,57.157075787241816,0.6400612243199681,2
12.0,21.08016357421875,False,Layer 31,Periodic (every 100),58.467829610594976,54.732745613872616,4.854435285278579,1
14.0,23.08016357421875,False,Layer 15,Static (oracle),55.52215111682151,62.97669970919031,1.0250415868852045,3
14.0,23.08016357421875,False,Layer 15,Static (profiled on first 20k),54.98270409171773,63.62892262740825,0.0,4
14.0,23.08016357421875,False,Layer 15,LRU,59.51793832773276,58.145559904911956,8.617720520910295,1
14.0,23.08016357421875,False,Layer 15,Periodic (every 100),58.486731567503455,59.39234902625973,6.658251352072416,2
14.0,23.08016357421875,False,Layer 31,Static (oracle),56.21540818343546,62.1385114793541,0.5702803394703673,3
14.0,23.08016357421875,False,Layer 31,Static (profiled on first 20k),55.9206364894248,62.4949076508571,0.0,4
14.0,23.08016357421875,False,Layer 31,LRU,56.256485965605854,62.088846044725116,0.6497515099958961,2
14.0,23.08016357421875,False,Layer 31,Periodic (every 100),58.467829610594976,59.41520259467547,4.927929605700271,1
