channel,reads,avg_read_latency_cycles,tck_ns,avg_read_latency_ns,row_hit_rate_pct,avg_bandwidth_gbps,peak_bandwidth_gbps,utilisation_pct,idle_cycles_pct,dynamic_energy_pj,dynamic_pj_per_access,dynamic_pj_per_bit,background_energy_pj,background_share_pct,total_energy_pj
0,32000.0,60.78525,1.0,60.78525,88.08073832245103,0.2048,32.0,0.64,94.37908,28766904.0,898.96575,1.75579248046875,646111416.0,95.73746805201863,674878320.0
1,32000.0,60.679625,1.0,60.679625,88.08282015835114,0.2048,32.0,0.64,94.37870000000001,28740252.0,898.132875,1.754165771484375,646112100.0,95.74125334010839,674852352.0
2,32000.0,60.695125,1.0,60.695125,88.08664259927798,0.2048,32.0,0.64,94.3786,28762788.0,898.837125,1.755541259765625,646112280.0,95.73805740294439,674875068.0
3,32000.0,60.66471875,1.0,60.66471875,88.08558770854934,0.2048,32.0,0.64,94.37864,28738620.0,898.081875,1.754066162109375,646112208.0,95.7414855539008,674850828.0
4,32000.0,60.73228125,1.0,60.73228125,88.08514646321936,0.2048,32.0,0.64,94.37881999999999,28760400.0,898.7625,1.7553955078125,646111884.0,95.73839366620071,674872284.0
5,32000.0,60.70296875,1.0,60.70296875,88.08088419994976,0.2048,32.0,0.64,94.37928,28758816.0,898.713,1.755298828125,646111056.0,95.7386131470394,674869872.0
6,32000.0,60.75571875,1.0,60.75571875,88.07774428535544,0.2048,32.0,0.64,94.37917999999999,28759644.0,898.738875,1.755349365234375,646111236.0,95.73849682179204,674870880.0
7,32001.0,60.62513671447767,1.0,60.62513671447767,88.07938701168196,0.2048064,32.0,0.64002,94.37922,28754772.0,898.5585450454673,1.7549971582919284,646111164.0,95.73918752360913,674865936.0
