batch_size,mean_union_size,union_pct_of_all_experts,analytic_uniform_union,pct_steps_union_fits_budget,pct_steps_fully_resident,hbm_hit_rate_pct,bytes_per_token_mb,time_per_token_tiered_us,time_per_token_hbm_only_us,tiering_penalty_x
1,2.0,25.0,2.0,100.0,32.53333333333333,55.21666666666667,704.643072,5417.1411538209395,880.8691609959022,6.149768199055091
2,3.4756666666666667,43.44583333333333,3.5,100.0,11.533333333333333,55.11652440778747,612.276109312,4715.8583384656495,765.4018951420228,6.161283854138625
4,5.410333333333333,67.62916666666666,5.46875,14.6,1.1333333333333333,53.74899882940053,476.54423756799997,3764.1087165981867,595.724473005187,6.318539672560023
8,7.113666666666667,88.92083333333333,7.1990966796875,0.06666666666666667,0.03333333333333333,51.989128906799124,313.287245824,2553.8377102869217,391.638099266949,6.520912329691833
16,7.861666666666666,98.27083333333333,7.919819233939052,0.0,0.0,50.65507737969048,173.11465472,1444.3851164694136,216.4093662717537,6.674318867768609
32,7.993666666666667,99.92083333333333,7.999196380594235,0.0,0.0,50.03961469496685,88.010653696,742.1050581450193,110.02147578043092,6.745092745583899
64,8.0,100.0,7.999999919274481,0.0,0.0,50.0,44.040192,371.59730680291926,55.05432256224389,6.749648156741824
128,8.0,100.0,7.999999999999999,0.0,0.0,50.0,22.020096,185.79865340145963,27.527161281121945,6.749648156741824
