channel,cycles,reads,read_cmds,merged_reads_pct,avg_read_latency_cycles,tck_ns,avg_read_latency_ns,row_hit_rate_pct,avg_bandwidth_gbps,dram_bandwidth_gbps,peak_bandwidth_gbps,utilisation_pct,idle_cycles_pct,dynamic_energy_pj,dynamic_pj_per_access,dynamic_pj_per_bit,background_energy_pj,background_share_pct,total_energy_pj
0,25600000.0,32088.0,32088.0,0.0,32.41464098728497,1.0,32.41464098728497,88.01109449015209,0.08022,0.08022,32.0,0.2506875,68.8573359375,28984068.0,903.2681376215407,1.7641955812920718,1771659156.0,98.39034920334669,1800643224.0
1,25600000.0,32064.0,32064.0,0.0,32.46550648702595,1.0,32.46550648702595,88.08320858283433,0.08016,0.08016,32.0,0.2505,69.20462109374999,28943244.0,902.6710329341317,1.763029361199476,1770058866.0,98.39115008041875,1799002110.0
2,25600000.0,32064.0,32064.0,0.0,33.11514471057884,1.0,33.11514471057884,87.87425149700599,0.08016,0.08016,32.0,0.2505,68.63675,28998720.0,904.4011976047905,1.7664085890718564,1772675616.0,98.39045717527499,1801674336.0
3,25600000.0,32064.0,32064.0,0.0,32.979728043912175,1.0,32.979728043912175,88.01459580838323,0.08016,0.08016,32.0,0.2505,68.8563515625,28961460.0,903.2391467065868,1.7641389584113023,1771663692.0,98.39158861199779,1800625152.0
4,25600000.0,32040.0,32040.0,0.0,32.06906991260924,1.0,32.06906991260924,88.05555555555556,0.0801,0.0801,32.0,0.2503125,69.28520703125,28928916.0,902.9,1.7634765625,1769687526.0,98.39160171538119,1798616442.0
5,25600000.0,31929.0,31928.0,0.003131949011870087,32.58755363462683,1.0,32.58755363462683,87.99799548985217,0.0798225,0.07982,32.0,0.2494375,69.02480078125,28843008.0,903.376597344024,1.764407416687547,1770887478.0,98.39737070498232,1799730486.0
6,25600000.0,31880.0,31880.0,0.0,32.57810539523212,1.0,32.57810539523212,88.11480552070263,0.0797,0.0797,32.0,0.24906249999999996,69.30280859375,28768812.0,902.4094102885822,1.762518379469887,1769606418.0,98.40028868725021,1798375230.0
7,25600000.0,31872.0,31872.0,0.0,33.074234437751,1.0,33.074234437751,87.88591867469879,0.07968,0.07968,32.0,0.249,69.25258984375,28821996.0,904.304593373494,1.7662199089326054,1769837826.0,98.39758493254429,1798659822.0
