num_reserved_static,num_lru_slots,hit_rate_pct,avg_time_ns
0,4,51.21,2911495.7326779617
1,3,51.70249999999999,2886552.1455197074
2,2,50.92333333333333,2926014.504221774
3,1,49.12583333333333,3017052.2664896203
4,0,51.11583333333334,2916264.9803071
