replicas,pool_links,private_cxl_gb,pooled_cxl_gb,capacity_saved_gb,consolidation_ratio,per_replica_pool_bw_gbps,access_time_private_us,access_time_pooled_us,pooled_slowdown_x,assumed_hit_rate_pct
1,1,45.097156608,45.097156608,0.0,1.0,64.0,2319.7138161946655,2319.7138161946655,1.0,59.51793832773276
1,2,45.097156608,45.097156608,0.0,1.0,128.0,2319.7138161946655,1281.9656532092988,0.5526395731488453,59.51793832773276
1,4,45.097156608,45.097156608,0.0,1.0,256.0,2319.7138161946655,763.0915717166158,0.328959359723268,59.51793832773276
1,8,45.097156608,45.097156608,0.0,1.0,512.0,2319.7138161946655,503.65453097027427,0.21711925301047938,59.51793832773276
2,1,90.194313216,45.097156608,45.097156608,1.3333333333333333,32.0,2319.7138161946655,4395.210142165398,1.894720853702309,59.51793832773276
2,2,90.194313216,45.097156608,45.097156608,1.3333333333333333,64.0,2319.7138161946655,2319.7138161946655,1.0,59.51793832773276
2,4,90.194313216,45.097156608,45.097156608,1.3333333333333333,128.0,2319.7138161946655,1281.9656532092988,0.5526395731488453,59.51793832773276
2,8,90.194313216,45.097156608,45.097156608,1.3333333333333333,256.0,2319.7138161946655,763.0915717166158,0.328959359723268,59.51793832773276
4,1,180.388626432,45.097156608,135.291469824,1.6,16.0,2319.7138161946655,8546.202794106863,3.6841625611069273,59.51793832773276
4,2,180.388626432,45.097156608,135.291469824,1.6,32.0,2319.7138161946655,4395.210142165398,1.894720853702309,59.51793832773276
4,4,180.388626432,45.097156608,135.291469824,1.6,64.0,2319.7138161946655,2319.7138161946655,1.0,59.51793832773276
4,8,180.388626432,45.097156608,135.291469824,1.6,128.0,2319.7138161946655,1281.9656532092988,0.5526395731488453,59.51793832773276
8,1,360.777252864,45.097156608,315.680096256,1.7777777777777777,8.0,2319.7138161946655,16848.188097989794,7.263045975916164,59.51793832773276
8,2,360.777252864,45.097156608,315.680096256,1.7777777777777777,16.0,2319.7138161946655,8546.202794106863,3.6841625611069273,59.51793832773276
8,4,360.777252864,45.097156608,315.680096256,1.7777777777777777,32.0,2319.7138161946655,4395.210142165398,1.894720853702309,59.51793832773276
8,8,360.777252864,45.097156608,315.680096256,1.7777777777777777,64.0,2319.7138161946655,2319.7138161946655,1.0,59.51793832773276
16,1,721.554505728,45.097156608,676.45734912,1.8823529411764706,4.0,2319.7138161946655,33452.15870575565,14.420812805534636,59.51793832773276
16,2,721.554505728,45.097156608,676.45734912,1.8823529411764706,8.0,2319.7138161946655,16848.188097989794,7.263045975916164,59.51793832773276
16,4,721.554505728,45.097156608,676.45734912,1.8823529411764706,16.0,2319.7138161946655,8546.202794106863,3.6841625611069273,59.51793832773276
16,8,721.554505728,45.097156608,676.45734912,1.8823529411764706,32.0,2319.7138161946655,4395.210142165398,1.894720853702309,59.51793832773276
32,1,1443.109011456,45.097156608,1398.011854848,1.9393939393939394,2.0,2319.7138161946655,66660.09992128739,28.736346464771586,59.51793832773276
32,2,1443.109011456,45.097156608,1398.011854848,1.9393939393939394,4.0,2319.7138161946655,33452.15870575565,14.420812805534636,59.51793832773276
32,4,1443.109011456,45.097156608,1398.011854848,1.9393939393939394,8.0,2319.7138161946655,16848.188097989794,7.263045975916164,59.51793832773276
32,8,1443.109011456,45.097156608,1398.011854848,1.9393939393939394,16.0,2319.7138161946655,8546.202794106863,3.6841625611069273,59.51793832773276
