layer,strategy,hit_rate_pct,energy_per_token_mj,energy_per_1k_tokens_j,cxl_energy_basis,saving_vs_worst_pct
Layer 15,Static (oracle),55.52215111682151,56.45777003000742,56.45777003000742,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)",1.0049958343240808
Layer 15,Static (profiled on first 20k),54.98270409171773,57.03092848556368,57.03092848556367,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)",0.0
Layer 15,LRU,59.51793832773276,52.21227581100286,52.21227581100286,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)",8.449192048101704
Layer 15,Periodic (every 100),58.486731567503455,53.307925330876444,53.307925330876444,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)",6.5280423334325395
Layer 31,Static (oracle),56.21540818343546,55.72118954830496,55.72118954830496,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)",0.55892957446253
Layer 31,Static (profiled on first 20k),55.9206364894248,56.03438228275065,56.03438228275065,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)",0.0
Layer 31,LRU,56.256485965605854,55.67754470999682,55.67754470999683,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)",0.6368189640303619
Layer 31,Periodic (every 100),58.467829610594976,53.328008519631766,53.328008519631766,"DRAM measured (DRAMSim3, DDR4-3200 as DDR5 proxy); link cited (Bichan et al., IEEE CICC 2020)",4.8298449146141476
