layer,tokens,eval_tokens,repeat_rate,lru_all_resident_pct,lru_any_miss_pct,static_all_resident_pct
Layer 15,829440,809440,0.2336087092418329,37.13962739671872,62.86037260328128,28.35886538841668
Layer 31,829440,809440,0.2317283946041641,39.794549318047046,60.205450681952954,43.60446728602491
